outlet_name,facility_id,date,resourceName,resourceId,timeRangeName,startTime,endTime,availabilityStatus,isAvailable,price,booking_url
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,28/08/2023,BNZ4RC BBQ PIT 4,959a726f-24b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-28T17:00,2023-08-28T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=28/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,27/08/2023,BNZ4RC BBQ PIT 1,e2385009-64af-ec11-814d-00155d464809,05:00 PM - 10:00 PM,2023-08-27T17:00,2023-08-27T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=27/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,27/08/2023,BNZ4RC BBQ PIT 2,9e38a4b0-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-27T17:00,2023-08-27T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=27/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,27/08/2023,BNZ4RC BBQ PIT 3,b7d844cb-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-27T17:00,2023-08-27T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=27/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,27/08/2023,BNZ4RC BBQ PIT 4,959a726f-24b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-27T17:00,2023-08-27T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=27/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,26/08/2023,BNZ4RC BBQ PIT 1,e2385009-64af-ec11-814d-00155d464809,05:00 PM - 10:00 PM,2023-08-26T17:00,2023-08-26T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=26/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,26/08/2023,BNZ4RC BBQ PIT 2,9e38a4b0-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-26T17:00,2023-08-26T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=26/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,26/08/2023,BNZ4RC BBQ PIT 3,b7d844cb-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-26T17:00,2023-08-26T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=26/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,26/08/2023,BNZ4RC BBQ PIT 4,959a726f-24b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-26T17:00,2023-08-26T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=26/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,25/08/2023,BNZ4RC BBQ PIT 1,e2385009-64af-ec11-814d-00155d464809,05:00 PM - 10:00 PM,2023-08-25T17:00,2023-08-25T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=25/08/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,25/08/2023,BNZ4RC BBQ PIT 2,9e38a4b0-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-08-25T17:00,2023-08-25T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=25/08/2023&time=all
